

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 7261            
  Cones                  : 0               
  Scalar variables       : 122             
  Matrix variables       : 0               
  Integer variables      : 121             

Optimizer started.
Mixed integer optimizer started.
Threads used: 6
Presolve started.
Presolve terminated. Time = 0.19
Presolved problem: 122 variables, 7261 constraints, 21901 non-zeros
Presolved problem: 0 general integer, 121 binary, 1 continuous
Clique table size: 0
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
37241    37103    5169     119      -9.5291615284e-01    -2.0760677547e+00    117.86      78.0  
37507    37369    5175     114      -9.5291615284e-01    -2.0760677547e+00    117.86      78.6  
37773    37635    5183     72       -9.5291615284e-01    -2.0760677547e+00    117.86      79.2  
38043    37903    5191     95       -9.5291615284e-01    -2.0760677547e+00    117.86      79.7  
38304    38162    5192     116      -9.5291615284e-01    -2.0760677547e+00    117.86      80.2  
38572    38430    5196     93       -9.5291615284e-01    -2.0675205599e+00    116.97      80.8  
38840    38698    5200     116      -9.5291615284e-01    -2.0675205599e+00    116.97      81.3  
39109    38966    5199     82       -9.5291615284e-01    -2.0611007885e+00    116.29      81.9  
39376    39232    5202     91       -9.5291615284e-01    -2.0611007885e+00    116.29      82.3  
39647    39499    5207     114      -9.5291615284e-01    -2.0611007885e+00    116.29      82.8  
39916    39763    5214     107      -9.5291615284e-01    -2.0611007885e+00    116.29      83.3  
40182    40026    5210     89       -9.5291615284e-01    -2.0611007885e+00    116.29      83.8  
40455    40292    5213     62       -9.5291615284e-01    -2.0611007885e+00    116.29      84.3  
40724    40557    5212     84       -9.5291615284e-01    -2.0611007885e+00    116.29      84.8  
40992    40823    5218     107      -9.5291615284e-01    -2.0611007885e+00    116.29      85.3  
41260    41091    5220     83       -9.5291615284e-01    -2.0611007885e+00    116.29      85.8  
41530    41356    5234     101      -9.5291615284e-01    -2.0508674309e+00    115.22      86.2  
41788    41614    5236     107      -9.5291615284e-01    -2.0508674309e+00    115.22      86.8  
42060    41882    5242     80       -9.5291615284e-01    -2.0068224820e+00    110.60      87.3  
42332    42149    5248     101      -9.5291615284e-01    -2.0068224820e+00    110.60      87.9  
42602    42414    5248     114      -9.5291615284e-01    -2.0068224820e+00    110.60      88.5  
42871    42679    5245     61       -9.5291615284e-01    -2.0068224820e+00    110.60      89.0  
43139    42947    5247     84       -9.5291615284e-01    -2.0068224820e+00    110.60      89.5  
43407    43215    5249     106      -9.5291615284e-01    -2.0068224820e+00    110.60      89.9  
43674    43482    5256     89       -9.5291615284e-01    -2.0068224820e+00    110.60      90.4  
43941    43749    5253     108      -9.5291615284e-01    -2.0068224820e+00    110.60      90.9  
44211    44016    5247     90       -9.5291615284e-01    -1.9893174934e+00    108.76      91.4  
44467    44272    5249     103      -9.5291615284e-01    -1.9893174934e+00    108.76      91.8  
44733    44537    5251     111      -9.5291615284e-01    -1.9893174934e+00    108.76      92.3  
45000    44801    5250     107      -9.5291615284e-01    -1.9739587123e+00    107.15      92.8  
45268    45065    5250     83       -9.5291615284e-01    -1.9739587123e+00    107.15      93.3  
