

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 14884           
  Cones                  : 0               
  Scalar variables       : 14763           
  Matrix variables       : 0               
  Integer variables      : 14762           

Optimizer started.
Mixed integer optimizer started.
Threads used: 6
Presolve started.
Presolve terminated. Time = 1.22
Presolved problem: 14763 variables, 14884 constraints, 58685 non-zeros
Presolved problem: 0 general integer, 14762 binary, 1 continuous
Clique table size: 14762
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
3882     3932     399      110      7.2111000000e-01     5.6157952125e-01     22.12       634.9 
3921     3953     399      110      7.2111000000e-01     5.6157952125e-01     22.12       635.6 
3958     3986     399      110      7.2111000000e-01     5.6157952125e-01     22.12       636.5 
3994     4022     399      110      7.2111000000e-01     5.6157952125e-01     22.12       637.1 
4046     4066     399      110      7.2111000000e-01     5.6157952125e-01     22.12       637.8 
4099     4117     399      110      7.2111000000e-01     5.6157952125e-01     22.12       638.2 
4162     4168     399      110      7.2111000000e-01     5.6157952125e-01     22.12       638.7 
4279     4195     402      112      7.2111000000e-01     5.6157952125e-01     22.12       641.2 
4321     4237     406      116      7.2111000000e-01     5.6157952125e-01     22.12       643.1 
4356     4272     409      119      7.2111000000e-01     5.6157952125e-01     22.12       645.3 
4385     4301     410      125      7.2111000000e-01     5.6157952125e-01     22.12       647.1 
4419     4335     412      127      7.2111000000e-01     5.6157952125e-01     22.12       649.2 
4456     4372     413      132      7.2111000000e-01     5.6157952125e-01     22.12       651.0 
4492     4408     415      134      7.2111000000e-01     5.6157952125e-01     22.12       652.8 
4552     4468     415      142      7.2111000000e-01     5.6157952125e-01     22.12       654.8 
4581     4497     414      145      7.2111000000e-01     5.6157952125e-01     22.12       657.2 
4618     4534     421      150      7.2111000000e-01     5.6157952125e-01     22.12       660.4 
4653     4569     420      157      7.2111000000e-01     5.6157952125e-01     22.12       662.3 
4683     4599     420      161      7.2111000000e-01     5.6157952125e-01     22.12       664.0 
4707     4623     424      166      7.2111000000e-01     5.6157952125e-01     22.12       665.2 
4747     4663     422      167      7.2111000000e-01     5.6157952125e-01     22.12       667.2 
4794     4710     427      172      7.2111000000e-01     5.6157952125e-01     22.12       669.0 
4812     4728     429      178      7.2111000000e-01     5.6157952125e-01     22.12       670.7 
4838     4754     431      180      7.2111000000e-01     5.6157952125e-01     22.12       672.1 
4874     4790     435      181      7.2111000000e-01     5.6157952125e-01     22.12       673.2 
4903     4819     428      71       7.2111000000e-01     5.6157952125e-01     22.12       675.0 
4947     4863     434      52       7.2111000000e-01     5.6222672473e-01     22.03       678.1 
4963     4879     432      72       7.2111000000e-01     5.6222672473e-01     22.03       680.3 
4980     4896     439      56       7.2111000000e-01     5.6222672473e-01     22.03       682.8 
